cycle,simulation_time,phase,green_time,queue_length,total_waiting_time,avg_waiting_time_per_vehicle,occupancy,density,throughput,vehicles_in_detectors,flow_rate,jam_detected,vehicles_through_motorcycle,vehicles_through_passenger,vehicles_through_bus,vehicles_through_truck,total_vehicles_through,cumulative_throughput,avg_speed,fuel_consumption,co2_emission
0,0.0,0,50,0,0,0.0,0.0,0.0,1.9000000000000001,0,0.0,False,3,1,0,0,4,1.9000000000000001,0.0,0.0,0.0
1,54.0,3,30,4,4,1.0,3.666666666666666,16.666666666666664,0.3,4,25.833333333333336,False,4,1,0,0,5,2.2,0.0,3348.8888888888887,10498.888888888889
2,88.0,6,20,4,4,1.0,4.625,16.666666666666668,0.6,4,20.96590909090909,False,6,1,0,0,7,2.8000000000000003,0.0,3293.333333333333,10325.0
3,112.0,0,50,10,10,1.0,12.999999999999998,41.66666666666667,8.9,10,34.55357142857143,False,19,6,0,0,25,11.700000000000001,0.5270830634396549,7312.777777777777,22926.944444444445
4,166.0,3,30,2,2,1.0,1.833333333333333,8.333333333333332,0.3,2,33.3433734939759,False,20,6,0,0,26,12.000000000000002,0.0,1674.4444444444443,5249.444444444444
5,200.0,6,20,10,10,1.0,10.125,41.66666666666667,0.6,10,35.325,False,22,6,0,0,28,12.600000000000001,0.8658755341153863,7479.444444444445,23448.611111111113
6,224.0,0,50,10,10,1.0,10.125,41.66666666666667,12.100000000000001,10,33.34821428571428,False,49,10,0,0,59,24.700000000000003,0.0,8316.666666666668,26073.333333333336
7,278.0,3,30,11,11,1.0,11.492210923480018,45.83333333333332,6.699999999999999,11,48.07553956834532,False,58,12,1,0,71,31.400000000000002,2.1104381502413165,9247.658004019959,28992.945648034292
8,312.0,6,20,18,18,1.0,20.333333333333332,75.0,0.3,18,57.98076923076924,False,59,12,1,0,72,31.700000000000003,0.5905338610196759,11496.408875092293,36042.48712000737
9,336.0,0,50,30,30,1.0,32.291666666666664,125.0,23.600000000000023,30,60.00000000000003,False,111,20,1,0,132,55.300000000000026,0.10165193322810667,23986.442647324544,75199.77218687054
10,390.0,3,30,23,23,1.0,24.916666666666664,95.83333333333333,6.199999999999998,23,76.73076923076927,False,125,22,1,0,148,61.50000000000002,1.9149563586285383,13996.699952879468,43881.283691182594
11,424.0,6,20,35,35,1.0,40.44328287546662,145.83333333333334,5.999999999999999,35,85.64858490566041,False,135,25,1,0,161,67.50000000000001,0.819868965947187,25455.985387511875,79807.68101764124
12,448.0,0,50,46,46,1.0,51.74999999999999,191.66666666666666,33.40000000000002,46,94.62053571428577,False,193,41,1,0,235,100.90000000000003,0.27463257684995074,35498.73334778038,111292.34312494524
13,502.0,3,30,25,25,1.0,26.749999999999993,104.16666666666666,7.999999999999998,25,107.21115537848611,False,213,43,1,0,257,108.90000000000003,1.6449774939501465,19377.82004731472,60751.41623782628
14,536.0,6,20,39,39,1.0,41.767319058388345,162.5,3.8,39,112.41604477611942,False,219,45,1,0,265,112.70000000000003,1.242286039410646,26298.40872167051,82448.25418133812
15,560.0,0,50,58,58,1.0,60.83333333333333,241.66666666666669,36.099999999999994,58,120.29464285714286,False,296,58,1,0,355,148.8,0.30362862646738153,43879.5951470674,137566.37306840986
