cycle,simulation_time,action,green_time,phase,queue_length,total_waiting_time,avg_waiting_time_per_vehicle,occupancy,density,throughput,vehicles_in_detectors,flow_rate,jam_detected,vehicles_through_motorcycle,vehicles_through_passenger,vehicles_through_bus,vehicles_through_truck,total_vehicles_through,cumulative_throughput,avg_speed,fuel_consumption,co2_emission
0,0.0,0,15,3,0,0,0.0,0.0,0.0,0.0,0,0.0,False,0,0,0,0,0,0.0,0.0,0.0,0.0
1,19.0,0,15,6,1,1,1.0,0.9166666666666666,4.166666666666667,1.3,1,7.105263157894737,False,1,1,0,0,2,1.3,16.489697824735817,2306.487363845689,7231.485411535116
2,38.0,0,15,0,4,4,1.0,3.6666666666666665,16.666666666666668,0.6,4,29.60526315789474,False,3,1,0,0,4,1.9,0.0,3348.8888888888887,10498.888888888889
3,57.0,0,15,3,4,4,1.0,3.666666666666666,16.666666666666664,0.8999999999999999,4,24.473684210526315,False,6,1,0,0,7,2.8,0.0,3348.8888888888887,10498.888888888889
4,76.0,0,15,6,1,1,1.0,0.9166666666666663,4.166666666666665,0.3,1,18.355263157894736,False,7,1,0,0,8,3.0999999999999996,0.0,837.2222222222222,2624.722222222222
5,95.0,0,15,0,3,3,1.0,5.625,12.5,0.0,3,28.894736842105264,False,7,1,0,0,8,3.0999999999999996,2.264059698163274,1563.3333333333333,4901.666666666667
6,114.0,0,15,3,10,10,1.0,12.585327051341768,41.66666666666667,6.1,10,37.89473684210526,False,14,5,0,0,19,9.2,1.5484604553560601,6475.555555555555,20302.222222222223
7,133.0,0,15,6,2,2,1.0,1.8333333333333333,8.333333333333334,0.6,2,36.54135338345865,False,16,5,0,0,21,9.799999999999999,7.288322706417182,3639.130400725171,11409.503999494169
8,152.0,0,15,0,6,6,1.0,6.458333333333333,25.0,0.3,6,39.375,False,17,5,0,0,22,10.1,2.21608171082374,4130.555555555555,12949.722222222223
9,171.0,0,15,3,7,7,1.0,7.349142039280773,29.166666666666668,4.3999999999999995,7,36.578947368421055,False,25,7,0,0,32,14.5,2.748832566848095,4130.555555555555,12949.722222222223
10,190.0,0,15,6,2,2,1.0,1.8333333333333333,8.333333333333334,0.0,2,38.84210526315789,False,25,7,0,0,32,14.5,14.134188180412048,1369.8203583612722,4294.737816608072
11,209.0,0,15,0,5,5,1.0,4.583333333333333,20.833333333333336,0.3,5,37.248803827751196,False,26,7,0,0,33,14.8,0.0,4186.111111111111,13123.611111111111
12,228.0,0,15,3,6,6,1.0,5.5,25.0,4.899999999999999,6,35.92105263157894,False,39,8,0,0,47,19.7,1.5671556104521596,4186.111111111111,13123.611111111111
13,247.0,0,15,6,4,4,1.0,3.666666666666666,16.666666666666664,0.8999999999999999,4,40.445344129554655,False,42,8,0,0,50,20.599999999999998,4.041744832737332,1674.4444444444443,5249.444444444444
14,266.0,0,15,0,10,10,1.0,11.90655255662226,41.666666666666664,0.0,10,45.676691729323295,False,42,8,0,0,50,20.599999999999998,3.4202670414929983,5023.333333333334,15748.333333333334
15,285.0,0,15,3,23,23,1.0,25.875,95.83333333333333,9.700000000000001,23,52.578947368421055,False,61,12,0,0,73,30.299999999999997,0.651299930063304,17244.498708619027,54063.22485388689
16,304.0,0,15,6,9,9,1.0,11.124999999999998,37.49999999999999,6.3999999999999995,9,55.80592105263158,False,69,14,1,0,84,36.699999999999996,1.957132796176814,5749.444444444443,18025.277777777777
